,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days,Image Link,Narative
,,,,,,,,,,,https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,Defi
,11,AvalancheAVAX,$46.69,1.02%,1.08%,0.83%,"$17.65B$17,645,362,484","$472,932,33410,128,832 AVAX","377,912,238 AVAX",,https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,Defi
,16,ChainlinkLINK,$17.46,0.53%,0.06%,2.38%,"$10.25B$10,248,663,155","$336,700,94919,288,088 LINK","587,099,970 LINK",,https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png,Defi
,19,Internet ComputerICP,$15.84,1.67%,0.18%,10.74%,"$7.33B$7,325,174,854","$193,515,37912,215,047 ICP","462,378,517 ICP",,https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png,Defi
,21,UniswapUNI,$9.28,0.01%,17.08%,16.35%,"$5.56B$5,555,643,710","$736,869,99679,413,065 UNI","598,736,140 UNI",,https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png,Defi
,23,DaiDAI,$0.9999,0.00%,0.02%,0.00%,"$5.35B$5,347,571,636","$376,841,031376,863,367 DAI","5,347,888,596 DAI",,https://s2.coinmarketcap.com/static/img/coins/64x64/4847.png,Defi
,27,StacksSTX,$3.06,1.02%,2.52%,4.19%,"$4.44B$4,444,009,946","$130,640,85642,693,985 STX","1,452,321,259 STX",,https://s2.coinmarketcap.com/static/img/coins/64x64/1518.png,Defi
,42,MakerMKR,"$3,395.38",0.68%,0.18%,11.94%,"$3.14B$3,139,738,436","$96,738,02228,491 MKR","924,710 MKR",,https://s2.coinmarketcap.com/static/img/coins/64x64/7226.png,Defi
,43,InjectiveINJ,$32.86,1.15%,0.18%,0.05%,"$3.07B$3,069,018,706","$109,712,1313,338,889 INJ","93,400,000 INJ",,https://s2.coinmarketcap.com/static/img/coins/64x64/6719.png,Defi
,44,The GraphGRT,$0.3231,1.16%,1.30%,4.00%,"$3.06B$3,055,801,592","$94,368,006292,049,647 GRT","9,457,079,943 GRT",,https://s2.coinmarketcap.com/static/img/coins/64x64/2416.png,Defi
,47,Theta NetworkTHETA,$2.96,1.20%,6.42%,16.03%,"$2.96B$2,958,811,398","$100,691,53634,031,076 THETA","1,000,000,000 THETA",,,Defi
,,FantomFTM,$0.95,,,,,,,,,Defi
,,THORChainRUNE,$7.31,,,,,,,,,Defi
,,Lido DAOLDO,$2.57,,,,,,,,,Defi
,,EthenaENA,$1.51,,,,,,,,,Defi
,,JupiterJUP,$1.35,,,,,,,,,Defi
,,AaveAAVE,$121.71,,,,,,,,,Defi
,,WormholeW,$0.81,,,,,,,,,Defi
,,MultiversXEGLD,$52.91,,,,,,,,,Defi
,,Nervos NetworkCKB,$0.03,,,,,,,,,Defi
,,ConfluxCFX,$0.34,,,,,,,,,Defi
,,SynthetixSNX,$3.94,,,,,,,,,Defi
,,TezosXTZ,$1.28,,,,,,,,,Defi
,,KavaKAVA,$0.93,,,,,,,,,Defi
,,GnosisGNO,$376.61,,,,,,,,,Defi
,,PancakeSwapCAKE,$3.77,,,,,,,,,Defi
,,dYdX (ethDYDX)ETHDYDX,$3.02,,,,,,,,,Defi
,,Oasis NetworkROSE,$0.12,,,,,,,,,Defi
,,WOOWOO,$0.41,,,,,,,,,Defi
,,Terra ClassicLUNC,$0.00,,,,,,,,,Defi
,,Theta FuelTFUEL,$0.12,,,,,,,,,Defi
,,Curve DAO TokenCRV,$0.62,,,,,,,,,Defi
,,MANTRAOM,$0.90,,,,,,,,,Defi
,,1inch Network1INCH,$0.56,,,,,,,,,Defi
,,ether.fiETHFI,$5.55,,,,,,,,,Defi
,,Ocean ProtocolOCEAN,$1.10,,,,,,,,,Defi
,,AnkrANKR,$0.06,,,,,,,,,Defi
,,CompoundCOMP,$71.40,,,,,,,,,Defi
,,DeXeDEXE,$15.79,,,,,,,,,Defi
,,Rocket PoolRPL,$27.75,,,,,,,,,Defi
,,0x ProtocolZRX,$0.65,,,,,,,,,Defi
,,Frax ShareFXS,$6.74,,,,,,,,,Defi
,,RaydiumRAY,$1.93,,,,,,,,,Defi
,,Basic Attention TokenBAT,$0.33,,,,,,,,,Defi
,,LoopringLRC,$0.35,,,,,,,,,Defi
,,Reserve RightsRSR,$0.01,,,,,,,,,Defi
,,JitoJTO,$3.77,,,,,,,,,Defi
,,JUSTJST,$0.04,,,,,,,,,Defi
,,Wrapped BitcoinWBTC,$70733.57,,,,,,,,,Defi
,,Wrapped eETHweETH,$3709.04,,,,,,,,,Defi
,,FraxFRAX,$1.00,,,,,,,,,Defi
