,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days,Image Link
,,,,,,,,,,,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
,8,DogecoinDOGE,$0.2011,2.08%,5.51%,12.39%,"$28.92B$28,922,238,504","$2,643,624,05513,147,498,734 DOGE","143,838,566,384 DOGE",,https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png
,12,Shiba InuSHIB,$0.00002799,0.61%,1.01%,5.04%,"$16.5B$16,496,578,585","$572,629,53820,455,424,812,486 SHIB","589,289,410,812,691 SHIB",,https://s2.coinmarketcap.com/static/img/coins/64x64/28752.png
,33,dogwifhatWIF,$3.82,0.57%,8.75%,0.18%,"$3.81B$3,811,164,170","$625,521,363163,951,454 WIF","998,920,173 WIF",,https://s2.coinmarketcap.com/static/img/coins/64x64/24478.png
,47,PepePEPE,$0.000007197,0.78%,2.21%,3.73%,"$3.03B$3,027,539,559","$529,034,71273,511,693,518,901 PEPE","420,689,899,999,995 PEPE",,https://s2.coinmarketcap.com/static/img/coins/64x64/10804.png
,58,FLOKIFLOKI,$0.0002003,0.90%,3.26%,0.52%,"$1.92B$1,916,193,600","$174,693,902872,169,133,582 FLOKI","9,566,704,325,712 FLOKI",,https://s2.coinmarketcap.com/static/img/coins/64x64/23095.png
,72,BonkBONK,$0.00002254,1.55%,1.73%,1.36%,"$1.47B$1,469,103,040","$118,514,9005,259,089,413,324 BONK","65,191,332,386,576 BONK",,https://s2.coinmarketcap.com/static/img/coins/64x64/29870.png
,125,BOOK OF MEMEBOME,$0.01311,2.32%,1.66%,15.29%,"$723.62M$723,617,473","$395,963,00030,205,254,255 BOME","55,199,727,655 BOME",,https://s2.coinmarketcap.com/static/img/coins/64x64/28301.png
,169,MemecoinMEME,$0.0411,1.34%,10.47%,16.22%,"$484.53M$484,531,391","$222,125,6415,404,625,878 MEME","11,789,322,846 MEME",,https://s2.coinmarketcap.com/static/img/coins/64x64/30126.png
,188,cat in a dogs worldMEW,$0.004769,0.10%,28.39%,27.30%,"$423.91M$423,911,901","$76,638,92816,070,200,412 MEW","88,888,888,888 MEW",,https://s2.coinmarketcap.com/static/img/coins/64x64/29743.png
